SaleID,price
150000,40447.55552096254
150001,375.7213730282301
150002,7523.028045693788
150003,11755.112143174461
150004,580.7571247953365
150005,1756.9692025115498
150006,4566.5300636412385
150007,10025.447582799668
150008,3530.8184933341654
150009,2150.55932487281
150010,4207.0866745827125
150011,6129.714271648709
150012,2354.131767683955
150013,12161.345854591422
150014,11970.7031212224
150015,334.7921282381137
150016,628.5488585097889
150017,6422.22248420486
150018,9563.74272540576
150019,1387.051358270308
150020,4910.479344867121
150021,13258.615503233324
150022,1491.2720321394752
150023,15241.027138675348
150024,1677.6890676959397
150025,6204.978906305579
150026,1604.6893889906628
150027,3744.368663786282
150028,21936.35415263796
150029,17400.10592745467
150030,1482.3933861670557
150031,282.80403309070493
150032,3995.9182005523917
150033,2800.3730550795203
150034,3237.747798631064
150035,6864.979454394284
150036,1091.4503887779729
150037,3899.9046002345767
150038,25674.876072841726
150039,1587.7335923247956
150040,12843.248544578038
150041,3859.249308955711
150042,15661.059461462733
150043,25865.85787120495
150044,7708.431044815279
150045,2101.6817082087064
150046,2907.814084944566
150047,48282.8836258627
150048,1082.1228690033909
150049,34307.65523868027
150050,5131.012805551374
150051,10062.880444928334
150052,1094.54126987348
150053,636.0998100771664
150054,14557.291307633592
150055,3981.5089302562246
150056,865.9938850015642
150057,2443.5276063762594
150058,1130.4143029109898
150059,2353.8493654975778
150060,9404.571334324322
150061,3164.180591311983
150062,1326.1941792993034
150063,11446.702954030476
150064,20851.410705246577
150065,9686.17717335048
150066,13132.565232839355
150067,3254.8083908835133
150068,1231.9284938934975
150069,2967.570475337411
150070,1830.0237039127746
150071,561.7285537498819
150072,983.4261668988038
150073,22834.254653656826
150074,328.2027256297175
150075,1078.2886885348516
150076,2470.8084684543533
150077,7469.9742757296135
150078,2644.578694899109
150079,4348.218737613082
150080,2532.407226643267
150081,8975.598864417352
150082,14758.429908788623
150083,530.611520677731
150084,3838.353185344409
150085,3504.4915930411626
150086,36675.811883285714
150087,336.21468544966535
150088,2902.0429176940356
150089,3217.53154326567
150090,1070.123618439662
150091,7047.020708210033
150092,6016.0109244663345
150093,791.3683589458354
150094,10844.420733397019
150095,142.21545102106904
150096,13286.81677584289
150097,8413.517037748436
150098,448.12652604678453
150099,399.20834993811104
150100,535.4438316456574
150101,4255.309606284137
150102,1665.045085046984
150103,2722.514708494449
150104,4246.621458765478
150105,927.523726215843
150106,2080.751658161051
150107,623.2528667635122
150108,7572.456878762858
150109,2203.1601308143963
150110,3600.1911549542638
150111,11377.250361618104
150112,10974.931074012238
150113,1657.0063179891717
150114,1274.9771125590094
150115,2555.561542099759
